Año,Album,Artista,Streams,Generos,Valoracion,aoty,soty,Link,LinkImg
2011,Christmas,Michael Bublé,4292450846,Otros,2,0,0,https://open.spotify.com/intl-es/album/53fJVD9LpBKEMqdAF7PW5K?si=223786697a474064,https://i.scdn.co/image/ab67616d00001e022ead7786631d8dd3b59be4f0
2011,Plus (+),Ed Sheeran,3995037918,Pop;Rock,4,0,0,https://open.spotify.com/intl-es/album/02pi98kE0nra0yBqCStzbC?si=8a4aebf162e14995,https://i.scdn.co/image/ab67616d00001e026567a393a964a845a89b7f70
2012,Born To Die,Lana Del Rey,8289318753,Pop;Rock,2,0,0,https://open.spotify.com/intl-es/album/4vXt6IpMcSnqonljffWlMI?si=60535677820f427d,https://i.scdn.co/image/ab67616d00001e02aaa285930cd1623de3eb60c5
2012,Night Visions,Imagine Dragons,7474237617,Pop;Rock,1,0,0,https://open.spotify.com/intl-es/album/6nxDQi0FeEwccEPJeNySoS?si=116544ef4c1d4cf5,https://i.scdn.co/image/ab67616d00001e02407bd04707c463bbb3410737
2012,Unorthodox Jukebox,Bruno Mars,6485788863,R&B/Soul;Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/58ufpQsJ1DS5kq4hhzQDiI?si=0c26032d50f74b0a,https://i.scdn.co/image/ab67616d00001e02926f43e7cce571e62720fd46
2012,Good Kid M.A.A.D. City,Kendrick Lamar,5765676787,Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/748dZDqSZy6aPXKcI9H80u?si=10631b645798473f,https://i.scdn.co/image/ab67616d00001e0278de8b28de36a74afc0348b5
2012,Overexposed,Maroon 5,5616595718,Pop;Rock,1,0,0,https://open.spotify.com/intl-es/album/2w3omjUhIFTAUUOVVq1gFM?si=f0aad0e96f1c4e1d,https://i.scdn.co/image/ab67616d00001e027582f40c3a7837eb2648a8af
2013,AM,Arctic Monkeys,10206282905,R&B/Soul;Pop;Rock,2,0,0,https://open.spotify.com/intl-es/album/78bpIziExqiI9qztvNFlQu?si=aaedc300c1f84bf4,https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163
2013,Midnight Memories,One Direction,4872924425,Pop,1,0,0,https://open.spotify.com/intl-es/album/7p1fX8aUySrBdx4WSYspOu?si=fe0f4cc9688f4987,https://i.scdn.co/image/ab67616d00001e022f76b797c382bedcafdf45e1
2013,I Love You.,The Neighbourhood,4866221444,Rock,2,0,0,https://open.spotify.com/intl-es/album/5n7S9xN6tYY8aGJU3kE0Va?si=692b92e3ef644fb3,https://i.scdn.co/image/ab67616d00001e02a6de8caf3859196ec74650f9
2013,True,Avicii,4564715759,Otros,2,0,0,https://open.spotify.com/intl-es/album/0ignCov9foaLxuqND5GMtl?si=20c9f3b56a56441e,https://i.scdn.co/image/ab67616d00001e02182fe5b5d3e3c3fcc895a3c8
2013,Pure Heroine,Lorde,4327682098,Pop;Rock,2,0,1,https://open.spotify.com/intl-es/album/0rmhjUgoVa17LZuS8xWQ3v?si=251b243f978a4e8b,https://i.scdn.co/image/ab67616d00001e02187331e276c898d39764cc98
2014,Multiply (x),Ed Sheeran,10966001277,Pop;R&B/Soul,2,0,1,https://open.spotify.com/intl-es/album/1xn54DMo2qIqBuMqHtUsFd?si=3704d3d55d4b4494,https://i.scdn.co/image/ab67616d00001e0213b3e37318a0c247b550bccd
